hexRes0, 0, hexRes0, 0, <
hexRes5, 4, hexRes5, 4, <
hexRes5, 5, hexRes5, 5, <
hexRes5, 6, hexRes5, 6, <
hexRes5, 7, hexRes5, 7, <
hexRes5, 8, hexRes5, 8, <
hexRes5, 9, hexRes5, 9, <
hexRes5, A, hexRes5, A, <
hexRes5, B, hexRes5, B, <
hexRes5, C, hexRes5, C, <
hexRes5, D, hexRes5, D, <
hexRes5, E, hexRes5, E, <
hexRes5, F, hexRes5, F, <
hexRes6, 0, hexRes6, 0, <
hexRes6, 1, hexRes6, 1, <
hexRes6, 2, hexRes6, 2, <
hexRes6, 3, hexRes6, 3, <
hexRes6, 4, hexRes6, 4, <
hexRes6, 5, hexRes6, 5, <
hexRes6, 6, hexRes6, 6, <
hexRes6, 7, hexRes6, 7, <
hexRes6, 8, hexRes6, 8, <
hexRes6, 9, hexRes6, 9, <
hexRes6, A, hexRes6, A, <
hexRes6, B, hexRes6, B, <
hexRes6, C, hexRes6, C, <
hexRes6, D, hexRes6, D, <
hexRes6, E, hexRes6, E, <
hexRes6, F, hexRes6, F, <
hexRes7, 0, hexRes7, 0, <
hexRes7, 1, hexRes7, 1, <
hexRes7, 2, hexRes7, 2, <
hexRes7, 3, hexRes7, 3, <
hexRes7, 4, hexRes7, 4, <
hexRes7, 5, hexRes7, 5, <
hexRes7, 6, hexRes7, 6, <
hexRes7, 7, hexRes7, 7, <
hexRes7, 8, hexRes7, 8, <
hexRes7, 9, hexRes7, 9, <
hexRes7, A, hexRes7, A, <
hexRes7, B, hexRes7, B, <
hexRes7, C, hexRes7, C, <
hexRes7, D, hexRes7, D, <
hexRes7, E, hexRes7, E, <
hexRes7, F, hexRes7, F, <
hexRes8, 0, hexRes8, 0, <
hexRes8, 1, hexRes8, 1, <
hexRes8, 2, hexRes8, 2, <
hexRes8, 3, hexRes8, 3, <
hexRes8, 4, hexRes8, 4, <
hexRes8, 5, hexRes8, 5, <
hexRes8, 6, hexRes8, 6, <
hexRes8, 7, hexRes8, 7, <
hexRes8, 8, hexRes8, 8, <
hexRes8, 9, hexRes8, 9, <
hexRes8, A, hexRes8, A, <
hexRes8, B, hexRes8, B, <
hexRes8, C, hexRes8, C, <
hexRes8, D, hexRes8, D, <
hexRes8, E, hexRes8, E, <
hexRes8, F, hexRes8, F, <
hexRes9, 0, hexRes9, 0, <
hexRes9, 1, hexRes9, 1, <
hexRes9, 2, hexRes9, 2, <
hexRes9, 3, hexRes9, 3, <
hexRes9, 4, hexRes9, 4, <
hexRes9, 5, hexRes9, 5, <
hexRes9, 6, hexRes9, 6, <
hexRes9, 7, hexRes9, 7, <
hexRes9, 8, hexRes9, 8, <
hexRes9, 9, hexRes9, 9, <
hexRes9, A, hexRes9, A, <
hexRes9, B, hexRes9, B, <
hexRes9, C, hexRes9, C, <
hexRes9, D, hexRes9, D, <
hexRes9, E, hexRes9, E, <
hexRes9, F, hexRes9, F, <
hexResA, 0, hexResA, 0, <
hexResA, 1, hexResA, 1, <
hexResA, 2, hexResA, 2, <
hexResA, 3, hexResA, 3, <
hexResA, 4, hexResA, 4, <
hexResA, 5, hexResA, 5, <
hexResA, 6, hexResA, 6, <
hexResA, 7, hexResA, 7, <
hexResA, 8, hexResA, 8, <
hexResA, 9, hexResA, 9, <
hexResA, A, hexResA, A, <
hexResA, B, hexResA, B, <
hexResA, C, hexResA, C, <
hexResA, D, hexResA, D, <
hexResA, E, hexResA, E, <
hexResA, F, hexResA, F, <
hexResB, 0, hexResB, 0, <
hexResB, 1, hexResB, 1, <
hexResB, 2, hexResB, 2, <
hexResB, 3, hexResB, 3, <
hexResB, 4, hexResB, 4, <
hexResB, 5, hexResB, 5, <
hexResB, 6, hexResB, 6, <
hexResB, 7, hexResB, 7, <
hexResB, 8, hexResB, 8, <
hexResB, 9, hexResB, 9, <
hexResB, A, hexResB, A, <
hexResB, B, hexResB, B, <
hexResB, C, hexResB, C, <
hexResB, D, hexResB, D, <
hexResB, E, hexResB, E, <
hexResB, F, hexResB, F, <
hexResC, 0, hexResC, 0, <
hexResC, 1, hexResC, 1, <
hexResC, 2, hexResC, 2, <
hexResC, 3, hexResC, 3, <
hexResC, 4, hexResC, 4, <
hexResC, 5, hexResC, 5, <
hexResC, 6, hexResC, 6, <
hexResC, 7, hexResC, 7, <
hexResC, 8, hexResC, 8, <
hexResC, 9, hexResC, 9, <
hexResC, A, hexResC, A, <
hexResC, B, hexResC, B, <
hexResC, C, hexResC, C, <
hexResC, D, hexResC, D, <
hexResC, E, hexResC, E, <
hexResC, F, hexResC, F, <
hexResD, 0, hexResD, 0, <
hexResD, 1, hexResD, 1, <
hexResD, 2, hexResD, 2, <
hexResD, 3, hexResD, 3, <
hexResD, 4, hexResD, 4, <
hexResD, 5, hexResD, 5, <
hexResD, 6, hexResD, 6, <
hexResD, 7, hexResD, 7, <
hexResD, 8, hexResD, 8, <
hexResD, 9, hexResD, 9, <
hexResD, A, hexResD, A, <
hexResD, B, hexResD, B, <
hexResD, C, hexResD, C, <
hexResD, D, hexResD, D, <
hexResD, E, hexResD, E, <
hexResD, F, hexResD, F, <
hexResE, 0, hexResE, 0, <
hexResE, 1, hexResE, 1, <
hexResE, 2, hexResE, 2, <
hexResE, 3, hexResE, 3, <
hexResE, 4, hexResE, 4, <
hexResE, 5, hexResE, 5, <
hexResE, 6, hexResE, 6, <
hexResE, 7, hexResE, 7, <
hexResE, 8, hexResE, 8, <
hexResE, 9, hexResE, 9, <
hexResE, A, hexResE, A, <
hexResE, B, hexResE, B, <
hexResE, C, hexResE, C, <
hexResE, D, hexResE, D, <
hexResE, E, hexResE, E, <
hexResE, F, hexResE, F, <
hexResF, 0, hexResF, 0, <
hexResF, 1, hexResF, 1, <
hexResF, 2, hexResF, 2, <
hexResF, 3, hexResF, 3, <
hexResF, 4, hexResF, 4, <
hexResF, 5, hexResF, 5, <
hexResF, 6, hexResF, 6, <
hexResF, 7, hexResF, 7, <
hexResF, 8, hexResF, 8, <
hexResF, 9, hexResF, 9, <
hexResF, A, hexResF, A, <
hexResF, B, hexResF, B, <
hexResF, C, hexResF, C, <
hexResF, D, hexResF, D, <
hexResF, E, hexResF, E, <
hexResF, F, hexResF, F, <
